iter	Passed	Remaining
434	1520	1974
435	1524	1971
436	1528	1968
437	1532	1966
438	1536	1962
439	1539	1959
440	1543	1956
441	1547	1953
442	1550	1949
443	1554	1946
444	1558	1943
445	1562	1940
446	1566	1937
447	1569	1934
448	1574	1932
449	1578	1928
450	1582	1926
451	1586	1923
452	1589	1919
453	1593	1916
454	1596	1912
455	1601	1910
456	1606	1908
457	1609	1904
458	1612	1900
459	1616	1897
460	1619	1893
461	1622	1889
462	1625	1885
463	1629	1882
464	1632	1878
465	1635	1874
466	1639	1870
467	1642	1867
468	1645	1863
469	1649	1859
470	1652	1855
471	1655	1852
472	1659	1848
473	1662	1844
474	1665	1841
475	1668	1837
476	1672	1833
477	1675	1829
478	1678	1826
479	1682	1822
480	1685	1818
481	1688	1815
482	1692	1811
483	1695	1807
484	1698	1803
485	1702	1800
486	1705	1796
487	1708	1792
488	1712	1789
489	1715	1785
490	1718	1781
491	1722	1778
492	1726	1775
493	1730	1772
494	1735	1770
495	1739	1767
496	1742	1763
497	1745	1759
498	1749	1756
499	1752	1752
500	1755	1748
501	1759	1745
502	1762	1741
503	1765	1737
504	1769	1734
505	1772	1730
506	1775	1726
507	1779	1723
508	1782	1719
509	1785	1715
510	1789	1711
511	1792	1708
512	1795	1704
513	1799	1701
514	1802	1697
515	1805	1693
516	1808	1689
517	1812	1686
518	1815	1682
519	1818	1678
520	1821	1675
521	1825	1671
522	1828	1667
523	1831	1664
524	1835	1660
525	1838	1656
526	1841	1653
527	1845	1649
528	1848	1645
529	1851	1642
530	1856	1639
531	1861	1637
532	1865	1634
533	1869	1631
534	1874	1629
535	1878	1626
536	1883	1624
537	1887	1621
538	1891	1617
539	1894	1613
540	1897	1610
541	1900	1606
542	1904	1602
543	1907	1598
544	1910	1595
545	1914	1591
546	1917	1587
547	1920	1584
548	1923	1580
549	1927	1576
550	1930	1573
551	1933	1569
552	1937	1565
553	1940	1562
554	1943	1558
555	1947	1554
556	1950	1551
557	1953	1547
558	1956	1543
559	1960	1540
560	1963	1536
561	1966	1532
562	1970	1529
563	1973	1525
564	1976	1521
565	1979	1518
566	1983	1514
567	1986	1510
568	1989	1507
569	1993	1503
570	1996	1499
571	1999	1496
572	2003	1492
573	2006	1489
574	2009	1485
575	2012	1481
576	2016	1478
577	2019	1474
578	2022	1470
579	2026	1467
580	2029	1463
581	2032	1459
582	2035	1456
583	2039	1452
584	2042	1448
585	2045	1445
586	2048	1441
587	2052	1438
588	2055	1434
589	2058	1430
590	2062	1427
591	2065	1423
592	2068	1419
593	2072	1416
594	2075	1412
595	2078	1409
596	2082	1405
597	2085	1401
598	2088	1398
599	2091	1394
600	2095	1391
601	2098	1387
602	2101	1383
603	2105	1380
604	2108	1376
605	2111	1372
606	2115	1369
607	2118	1365
608	2121	1362
609	2124	1358
610	2128	1355
611	2131	1351
612	2134	1347
613	2138	1344
614	2141	1340
615	2144	1336
616	2147	1333
617	2151	1329
618	2154	1326
619	2157	1322
620	2161	1318
621	2164	1315
622	2167	1311
623	2171	1308
624	2174	1304
625	2177	1301
626	2180	1297
627	2184	1293
628	2187	1290
629	2190	1286
630	2194	1283
631	2197	1279
632	2200	1275
633	2203	1272
634	2207	1268
635	2210	1265
636	2213	1261
637	2217	1258
638	2221	1254
639	2224	1251
640	2227	1247
641	2231	1244
642	2234	1240
643	2238	1237
644	2241	1233
645	2244	1230
646	2248	1226
647	2251	1222
648	2254	1219
649	2257	1215
650	2261	1212
651	2265	1209
652	2268	1205
653	2271	1201
654	2275	1198
655	2278	1194
656	2281	1191
657	2285	1187
658	2288	1184
659	2291	1180
660	2294	1176
661	2298	1173
662	2301	1169
663	2305	1166
664	2309	1163
665	2314	1160
666	2317	1157
667	2321	1153
668	2325	1150
669	2329	1147
670	2333	1143
671	2337	1140
672	2341	1137
673	2345	1134
674	2348	1130
675	2352	1127
676	2355	1123
677	2358	1120
678	2363	1117
679	2368	1114
680	2373	1111
681	2377	1108
682	2382	1105
683	2387	1102
684	2392	1100
685	2397	1097
686	2401	1094
687	2406	1091
688	2410	1088
689	2414	1084
690	2417	1081
691	2421	1077
692	2425	1074
693	2429	1071
694	2433	1067
695	2437	1064
696	2441	1061
697	2445	1057
698	2449	1054
699	2452	1051
700	2457	1048
701	2461	1044
702	2465	1041
703	2468	1037
704	2473	1034
705	2476	1031
706	2480	1028
707	2484	1024
708	2488	1021
709	2492	1017
710	2496	1014
711	2500	1011
712	2504	1008
713	2508	1004
714	2511	1001
715	2515	997
716	2519	994
717	2523	991
718	2527	987
719	2531	984
720	2535	981
721	2539	977
722	2543	974
723	2547	971
724	2551	967
725	2555	964
726	2559	961
727	2562	957
728	2566	953
729	2570	950
730	2575	947
731	2579	944
732	2584	941
733	2587	937
734	2591	934
735	2594	930
736	2598	927
737	2602	923
738	2605	920
739	2609	916
740	2612	913
741	2616	909
742	2619	906
743	2622	902
744	2626	898
745	2629	895
746	2632	891
747	2636	888
748	2639	884
749	2642	880
750	2646	877
751	2649	873
752	2652	870
753	2655	866
754	2659	862
755	2662	859
756	2666	855
757	2669	852
758	2672	848
759	2675	845
760	2679	841
761	2682	837
762	2685	834
763	2689	830
764	2693	827
765	2696	823
766	2699	820
767	2702	816
768	2706	812
769	2709	809
770	2712	805
771	2716	802
772	2719	798
773	2723	795
774	2726	791
775	2729	787
776	2732	784
777	2736	780
778	2739	777
779	2742	773
780	2746	770
781	2749	766
782	2752	762
783	2756	759
784	2759	755
785	2762	752
786	2766	748
787	2769	745
788	2772	741
789	2776	737
790	2779	734
791	2782	730
792	2785	727
793	2789	723
794	2792	720
795	2795	716
796	2799	712
797	2802	709
798	2805	705
799	2808	702
800	2812	698
801	2815	695
802	2819	691
803	2822	688
804	2825	684
805	2829	680
806	2832	677
807	2835	673
808	2839	670
809	2842	666
810	2845	663
811	2848	659
812	2852	656
813	2855	652
814	2858	648
815	2862	645
816	2865	641
817	2868	638
818	2872	634
819	2875	631
820	2878	627
821	2881	624
822	2885	620
823	2888	616
824	2891	613
825	2895	609
826	2898	606
827	2902	602
828	2905	599
829	2908	595
830	2911	592
831	2915	588
832	2918	585
833	2921	581
834	2925	578
835	2928	574
836	2931	570
837	2935	567
838	2938	563
839	2941	560
840	2944	556
841	2948	553
842	2951	549
843	2954	546
844	2958	542
845	2961	539
846	2964	535
847	2967	531
848	2971	528
849	2974	524
850	2977	521
851	2981	517
852	2984	514
853	2987	510
854	2991	507
855	2994	503
856	2997	500
857	3000	496
858	3004	493
859	3007	489
860	3010	486
861	3014	482
862	3017	479
863	3020	475
864	3024	471
865	3027	468
866	3030	464
867	3033	461
868	3037	457
869	3040	454
870	3043	450
871	3047	447
872	3050	443
873	3053	440
874	3056	436
875	3060	433
876	3063	429
877	3066	426
878	3069	422
879	3073	419
880	3076	415
881	3079	412
882	3083	408
883	3086	405
884	3089	401
885	3092	397
886	3096	394
887	3099	390
888	3102	387
889	3106	383
890	3109	380
891	3112	376
892	3116	373
893	3119	369
894	3122	366
895	3125	362
896	3129	359
897	3132	355
898	3135	352
899	3139	348
900	3142	345
901	3145	341
902	3149	338
903	3152	334
904	3155	331
905	3158	327
906	3162	324
907	3165	320
908	3169	317
909	3172	313
910	3176	310
911	3179	306
912	3183	303
913	3186	299
914	3190	296
915	3193	292
916	3196	289
917	3200	285
918	3203	282
919	3206	278
920	3210	275
921	3213	271
922	3216	268
923	3220	264
924	3223	261
925	3228	257
926	3232	254
927	3235	251
928	3239	247
929	3242	244
930	3245	240
931	3248	237
932	3252	233
933	3255	230
934	3258	226
935	3262	223
936	3265	219
937	3268	216
938	3272	212
939	3275	209
940	3278	205
941	3282	202
942	3285	198
943	3288	195
944	3291	191
945	3295	188
946	3299	184
947	3303	181
948	3308	177
949	3312	174
950	3315	170
951	3320	167
952	3324	163
953	3328	160
954	3331	156
955	3335	153
956	3339	150
957	3343	146
958	3346	143
